term_id,taxonomy,slug,name,count,action,new_type,new_slug,notes
882,portfolio_tags,new-jersey,New Jersey,2,RELATE,office,cranford,
896,portfolio_tags,west-palm-beach,West Palm Beach,4,RELATE,office,west-palm-beach,
903,portfolio_tags,zurich,Zurich,3,RELATE,office,zurich,
904,portfolio_tags,oslo,Oslo,4,RELATE,office,oslo,
905,portfolio_tags,italy,Italy,1,RELATE,office,milan,
910,portfolio_tags,project-monitoring,Project Monitoring,9,RELATE,service,project-monitoring,
8,post_tag,artwork,Artwork,0,UNTAG,,,
10,post_tag,design,Design,4,UNTAG,,,
11,post_tag,photo,Photo,0,UNTAG,,,
12,post_tag,slideshow,Slideshow,0,UNTAG,,,
13,post_tag,video,Video,0,UNTAG,,,
14,post_tag,videos,Videos,0,UNTAG,,,
150,post_tag,events,Events,0,UNTAG,,,
151,post_tag,indoors,Indoors,0,UNTAG,,,
152,post_tag,modern,Modern,0,UNTAG,,,
153,post_tag,outdoors,Outdoors,0,UNTAG,,,
154,post_tag,sales,Sales,0,UNTAG,,,
155,post_tag,trends,Trends,0,UNTAG,,,
397,post_tag,los-angeles,Los Angeles,7,RELATE,office,los-angeles,
398,post_tag,nashville,Nashville,4,RELATE,office,nashville,
399,post_tag,san-diego,San Diego,4,RELATE,office,san-diego,
400,post_tag,boston,Boston,4,RELATE,office,boston,
401,post_tag,chicago,Chicago,7,RELATE,office,chicago,
402,post_tag,las-vegas,Las Vegas,4,RELATE,office,las-vegas,
403,post_tag,sacramento,Sacramento,1,RELATE,office,sacramento,
404,post_tag,aliso-viejo,Aliso Viejo,2,RELATE,office,aliso-viejo,
405,post_tag,murrieta,Murrieta,1,RELATE,office,murrieta,
406,post_tag,oakland,Oakland,1,RELATE,office,oakland,
407,post_tag,san-francisco,San Francisco,1,RELATE,office,san-francisco,
408,post_tag,san-jose,San Jose,1,RELATE,office,san-jose,
409,post_tag,scottsdale,Scottsdale,1,RELATE,office,scottsdale,
472,post_tag,golf-tournament,Golf Tournament,3,UNTAG,,,
473,post_tag,healthcare,Healthcare,10,RELATE,sector,healthcare,
474,post_tag,higher-education,Higher Education,4,RELATE,sector,higher-education,
475,post_tag,colorado,Colorado,6,RELATE,office,denver,
476,post_tag,dra,DRA,3,RELATE,service,dispute-resolution-avoidance,
477,post_tag,dispute-resolution-and-avoidance,Dispute Resolution and Avoidance,3,RELATE,service,dispute-resolution-avoidance,
478,post_tag,memphis,Memphis,1,RELATE,office,memphis,
479,post_tag,aba-forum,ABA Forum,3,UNTAG,,,
480,post_tag,dallas,Dallas,3,RELATE,office,fort-worth,
481,post_tag,uli,ULI,4,UNTAG,,,
482,post_tag,urban-land-institute,Urban Land Institute,1,UNTAG,,,
483,post_tag,themed-entertainment,Themed Entertainment,1,RELATE,sector,themed-entertainment,
484,post_tag,orlando,Orlando,4,RELATE,office,orlando,
485,post_tag,iaapa,IAAPA,1,UNTAG,,,
486,post_tag,life-sciences,Life Sciences,1,RELATE,sector,life-sciences,
487,post_tag,phoenix,Phoenix,1,RELATE,office,phoenix,
488,post_tag,new-york,New York,6,RELATE,office,new-york,
489,post_tag,hospitality,Hospitality,6,RELATE,sector,hospitality-gaming,
490,post_tag,toronto,Toronto,0,RELATE,office,toronto,
491,post_tag,long-beach,Long Beach,1,UNTAG,,,
496,post_tag,washington-d-c,Washington D.C.,3,RELATE,office,washington-dc,
497,post_tag,texas,Texas,0,UNTAG,,,
862,post_tag,construction,construction,0,UNTAG,,,
864,post_tag,education,Education,6,RELATE,sector,student-accomodation,
865,post_tag,south-carolina,South Carolina,7,RELATE,office,columbia,
866,post_tag,k-12,K-12,6,RELATE,sector,k-12-education,
869,post_tag,scup,SCUP,1,UNTAG,,,
870,post_tag,university,University,2,RELATE,sector,higher-education,
872,post_tag,philadelphia,Philadelphia,1,RELATE,office,philadelphia,
878,post_tag,sustainability,Sustainability,1,RELATE,services,energy-sustainability-solutions,
879,post_tag,real-estate,Real Estate,1,UNTAG,,,
881,post_tag,luxury-hospitality,Luxury Hospitality,2,RELATE,sector,luxury-hospitality,
883,post_tag,k-12-education,K-12 Education,1,RELATE,sector,k-12-education,
884,post_tag,new-jersey,New Jersey,2,RELATE,office,cranford,
885,post_tag,independent-schools,Independent Schools,1,RELATE,sector,higher-education,
886,post_tag,finance-and-officers,Finance and Officers,1,UNTAG,,,
888,post_tag,dbia,DBIA,1,UNTAG,,,
889,post_tag,project-delivery,Project Delivery,1,UNTAG,,,
891,post_tag,design-build,Design-Build,1,UNTAG,,,
892,post_tag,data-centers,Data centers,1,RELATE,sector,data-centers,
893,post_tag,technology,technology,1,UNTAG,,,
894,post_tag,aviation,Aviation,2,RELATE,sector,transportation,
895,post_tag,seattle,Seattle,1,RELATE,office,seattle,
897,post_tag,gaming,Gaming,2,RELATE,sector,hospitality-gaming,
906,post_tag,california,California,2,UNTAG,,,Too broad for existing tags
907,post_tag,municipal,Municipal,1,RELATE,sector,public-sector,
908,post_tag,transportation,Transportation,1,RELATE,sector,transportation,
909,post_tag,ipd,IPD,1,UNTAG,,,
913,post_tag,tribal-gaming,Tribal gaming,1,RELATE,sector,hospitality-gaming,
914,post_tag,community-colleges,community colleges,1,RELATE,sector,higher-education,
