term_id,taxonomy,slug,name,count,new_type,new_slug,action,
421,portfolio_tags,cork,Cork,8,office,cork,RELATIONSHIP,
422,portfolio_tags,dallas,Dallas,11,office,fort-worth,RELATIONSHIP,
424,portfolio_tags,aia-healthcare,AIA Healthcare,6,office,,RELATIONSHIP,
427,portfolio_tags,dusseldorf,Dusseldorf,8,office,dusseldorf,RELATIONSHIP,
428,portfolio_tags,belfast,Belfast,6,office,belfast,RELATIONSHIP,
429,portfolio_tags,berlin,Berlin,6,office,berlin,RELATIONSHIP,
430,portfolio_tags,munich,Munich,6,office,munich,RELATIONSHIP,
431,portfolio_tags,paris,Paris,5,office,paris,RELATIONSHIP,
432,portfolio_tags,reno,Reno,3,office,reno,RELATIONSHIP,
434,portfolio_tags,edinburgh,Edinburgh,4,office,edinburgh,RELATIONSHIP,
436,portfolio_tags,vail,Vail,2,office,vail,RELATIONSHIP,
437,portfolio_tags,cardiff,Cardiff,6,office,cardiff,RELATIONSHIP,
492,portfolio_tags,raleigh,Raleigh,6,office,raleigh,RELATIONSHIP,
493,portfolio_tags,bend,Bend,4,office,bend,RELATIONSHIP,
495,portfolio_tags,program-project-management,Program + Project Management,8,service,program-project-management,RELATIONSHIP,
20,portfolio_tags,abu-dhabi,Abu Dhabi,0,office,,RELATIONSHIP,
21,portfolio_tags,aliso-viejo,Aliso Viejo,13,office,aliso-viejo,RELATIONSHIP,
28,portfolio_tags,boston,Boston,20,office,boston,RELATIONSHIP,
30,portfolio_tags,charleston,Charleston,5,office,charleston,RELATIONSHIP,
32,portfolio_tags,columbia,Columbia,7,office,columbia,RELATIONSHIP,
37,portfolio_tags,cranford,Cranford,6,office,cranford,RELATIONSHIP,
38,portfolio_tags,denver,Denver,17,office,denver,RELATIONSHIP,
41,portfolio_tags,dubai,Dubai,0,office,,RELATIONSHIP,
42,portfolio_tags,durham,Durham,2,office,raleigh,RELATIONSHIP,
43,portfolio_tags,fort-mill,Fort Mill,0,office,,RELATIONSHIP,
47,portfolio_tags,honolulu,Honolulu,3,office,honolulu,RELATIONSHIP,
48,portfolio_tags,international,International,0,office,,RELATIONSHIP,
49,portfolio_tags,las-vegas,Las Vegas,4,office,las-vegas,RELATIONSHIP,
50,portfolio_tags,london,London,40,office,london,RELATIONSHIP,
51,portfolio_tags,los-angeles,Los Angeles,29,office,los-angeles,RELATIONSHIP,
53,portfolio_tags,miami,Miami,18,office,miami,RELATIONSHIP,
55,portfolio_tags,murrieta,Murrieta,0,office,murrieta,RELATIONSHIP,
56,portfolio_tags,new-york,New York,37,office,new-york,RELATIONSHIP,
67,portfolio_tags,qatar,Qatar,0,office,,RELATIONSHIP,
69,portfolio_tags,sacramento,Sacramento,3,office,sacramento,RELATIONSHIP,
70,portfolio_tags,san-diego-pf,San Diego,6,office,san-diego,RELATIONSHIP,
71,portfolio_tags,san-francisco,San Francisco,13,office,san-francisco,RELATIONSHIP,
73,portfolio_tags,seattle,Seattle,1,office,seattle,RELATIONSHIP,
76,portfolio_tags,silicon-valley,Silicon Valley,5,office,silicon-valley,RELATIONSHIP,
82,portfolio_tags,washington-dc,Washington D.C.,5,office,washington-dc,RELATIONSHIP,
288,portfolio_tags,chicago,Chicago,5,office,charleston,RELATIONSHIP,
325,portfolio_tags,orlando,Orlando,2,office,orlando,RELATIONSHIP,
