"term_id","taxonomy","slug","name","count","new_type","new_slug","action","notes"
"28","portfolio_tags","boston","Boston","20","office","boston","RELATIONSHIP",""
"30","portfolio_tags","charleston","Charleston","5","office","charleston","RELATIONSHIP",""
"32","portfolio_tags","columbia","Columbia","7","office","columbia","RELATIONSHIP",""
"37","portfolio_tags","cranford","Cranford","6","office","cranford","RELATIONSHIP",""
"38","portfolio_tags","denver","Denver","17","office","denver","RELATIONSHIP",""
"41","portfolio_tags","dubai","Dubai","0","office","","RELATIONSHIP",""
"42","portfolio_tags","durham","Durham","2","office","raleigh","RELATIONSHIP",""
"43","portfolio_tags","fort-mill","Fort Mill","0","office","","RELATIONSHIP",""
"47","portfolio_tags","honolulu","Honolulu","3","office","honolulu","RELATIONSHIP",""
"48","portfolio_tags","international","International","0","office","","RELATIONSHIP",""
"49","portfolio_tags","las-vegas","Las Vegas","4","office","las-vegas","RELATIONSHIP",""
"50","portfolio_tags","london","London","40","office","london","RELATIONSHIP",""
"51","portfolio_tags","los-angeles","Los Angeles","29","office","los-angeles","RELATIONSHIP",""
"53","portfolio_tags","miami","Miami","18","office","miami","RELATIONSHIP",""
"55","portfolio_tags","murrieta","Murrieta","0","office","murrieta","RELATIONSHIP",""
"56","portfolio_tags","new-york","New York","37","office","new-york","RELATIONSHIP",""
"67","portfolio_tags","qatar","Qatar","0","office","","RELATIONSHIP",""
"69","portfolio_tags","sacramento","Sacramento","3","office","sacramento","RELATIONSHIP",""
"70","portfolio_tags","san-diego-pf","San Diego","6","office","san-diego","RELATIONSHIP",""
"71","portfolio_tags","san-francisco","San Francisco","13","office","san-francisco","RELATIONSHIP",""
"73","portfolio_tags","seattle","Seattle","1","office","seattle","RELATIONSHIP",""
"76","portfolio_tags","silicon-valley","Silicon Valley","5","office","silicon-valley","RELATIONSHIP",""
"82","portfolio_tags","washington-dc","Washington D.C.","5","office","washington-dc","RELATIONSHIP",""
"288","portfolio_tags","chicago","Chicago","5","office","charleston","RELATIONSHIP",""
"325","portfolio_tags","orlando","Orlando","2","office","orlando","RELATIONSHIP",""
