id,date,title,slug,client,facility,location,start_date,end_date,owner,architect,vendors,contractors,case_study_pdf,sector1,sector2,sector3,sector4,service1,service2,service3,service4,office1,office2,office3,migration_status,migration_note
44644,2022-02-28,"Cascade Hall",pacific-university-cascade-hall-forest-grove-or,"Pacific University",,,,,,,,,,higher-education,,,,program-project-management,,,,portland,,,auto-migrated,
44642,2022-02-28,"OHSU Kohler Pavilion and Parking Garage",ohsu-kohler-pavilion-and-parking-garage-portland-or,"Oregon Health & Science University (OHSU) Hospital",,,,,,,,,,healthcare,,,,program-project-management,,,,portland,,,auto-migrated,
44640,2022-02-28,"Oregon Convention Center Plaza, Entries, and Interior Renovation",oregon-convention-center-plaza-entries-and-interior-renovation-portland-or,"Oregon Convention Center",,,,,,,,,,culture-non-profit,,,,program-project-management,,,,portland,,,auto-migrated,
44633,2022-02-28,"North Pointe Homes",willamette-view-north-pointe-homes-portland-or,"Willamette View Retirement Community",,,,,,,,,,healthcare,,,,program-project-management,,,,portland,,,auto-migrated,
44631,2022-02-28,"Mt. Hood Medical Services Building",mt-hood-medical-services-building-gresham-or,"Legacy Mount Hood Medical Center",,,,,,,,,,healthcare,,,,program-project-management,,,,portland,,,auto-migrated,
44626,2022-02-28,"Project NOVA Headquarters & Parking Garage",project-nova-headquarters-parking-garage-portland-or,"Daimler Truck North America",,,,,,,,,,retail,workplace,,,program-project-management,,,,portland,,,auto-migrated,
44622,2022-02-28,"Industrial Technology Center",clackamas-community-college-industrial-technology-center-oregon-city-or,"Clackamas Community College",,,,,,,,,,higher-education,,,,program-project-management,,,,portland,,,auto-migrated,
44620,2022-02-28,"Douglas Loop Reconstruction",clackamas-community-college-douglas-loop-reconstruction-oregon-city-or,"Clackamas Community College",,,,,,,,,,higher-education,,,,program-project-management,,,,portland,,,auto-migrated,
44618,2022-02-28,"Harmony West",clackamas-community-college-harmony-west-milwaukie-or,"Clackamas Community College",,,,,,,,,,higher-education,,,,program-project-management,,,,portland,,,auto-migrated,
44616,2022-02-28,"Pavilion Expansion and Parking Garage",adventist-health-pavilion-expansion-and-parking-garage-portland-or,"Adventist Health",,,,,,,,,,healthcare,,,,program-project-management,,,,portland,,,auto-migrated,
44493,2022-02-16,"Vanderbilt University",vanderbilt-university-nashville-tn,"Vanderbilt University",,,,,,,,,,higher-education,,,,cost-commercial-management,planning-scheduling,program-project-management,,nashville,,,auto-migrated,
42718,2021-11-18,"Singleton Theater and Wolf Theater",denver-center-for-the-performing-arts-denver-co,"Denver Center for Performing Arts",,,,,,,,,,culture-non-profit,,,,program-project-management,,,,denver,,,auto-migrated,
42524,2021-11-05,"3 Sutton Place",3-sutton-place-manhattan-ny,"Gamma Real Estate",,,,,,,,,,luxury-residential,,,,program-project-management,,,,new-york,,,auto-migrated,
37496,2020-10-14,"Inpatient Tower and Emergency Department",university-of-colorado-hospital-at-anschutz-tower-2-expansion-aurora-co,"University of Colorado Hospital at Anschutz",,,,,,,,,,healthcare,,,,program-project-management,,,,denver,,,auto-migrated,
37491,2020-10-14,"The Eating Recovery Center (ERC)",eating-recovery-center-partial-hospitalization-program-kitchen-renovation-denver-co,,,,,,,,,,,healthcare,,,,program-project-management,,,,denver,,,auto-migrated,
37475,2020-10-14,"UCHealth Longs Peak Hospital",uchealth-longs-peak-hospital-longmont-co,UCHealth,,,,,,,,,,healthcare,,,,program-project-management,,,,denver,,,auto-migrated,
37471,2020-10-14,"Synergy Medical Office Building",synergy-medical-office-building-denver-co,,,,,,,,,,,healthcare,,,,program-project-management,,,,denver,,,auto-migrated,
37468,2020-10-14,"Kaiser Lone Tree Medical Offices",kaiser-lone-tree-lone-tree-co,"Kaiser Permanente",,,,,,,,,,healthcare,,,,program-project-management,,,,denver,,,auto-migrated,
37449,2020-10-14,"Assembly Athletic Complex",metropolitan-state-university-of-denver-athletics-complex-phase-ii-denver-co,"Metropolitan State University of Denver",,,,,,,,,,higher-education,,,,program-project-management,,,,denver,,,auto-migrated,
37445,2020-10-14,"Student Success Building",metropolitan-state-university-student-success-building-denver-co,"Metropolitan State University of Denver",,,,,,,,,,higher-education,,,,program-project-management,,,,denver,,,auto-migrated,
37432,2020-10-14,"Behavior Analyst Certification Board Office Building",behavior-analyst-certification-board-office-building-littleton-co,"Behavior Analyst Certification Board",,,,,,,,,,workplace,,,,program-project-management,,,,denver,,,auto-migrated,
37427,2020-10-14,"Boulder Commons",the-commons-phase-1-boulder-co,"Coburn Partners",,,,,,,,,,workplace,retail,,,program-project-management,,,,denver,,,auto-migrated,
37421,2020-10-14,"Ovintiv (formerly Encana Oil and Gas) Office Building",ovintiv-formerly-encana-oil-and-gas-parachute-co,Ovintiv,,,,,,,,,,workplace,,,,program-project-management,,,,denver,,,auto-migrated,
37418,2020-10-14,"Sheltair FBO",sheltair-fbo-broomfield-co,Sheltair,,,,,,,,,,transportation,,,,program-project-management,,,,denver,,,auto-migrated,
37414,2020-10-14,"Virgin Hotel",virgin-hotel-dallas-tx,"Virigin Group",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,fort-worth,,,auto-migrated,
56217,2020-10-14,"Virgin Hotel",st-virgin-hotel-nashville-tn,"Virigin Group",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
37149,2020-09-17,"Gateway of Pacific buildings 1 – 3",biomed-realty-south-san-francisco-ca,"BioMed Realty",,,,,,,,,,research-manufacturing,workplace,,,cost-commercial-management,,,,san-francisco,,,auto-migrated,
36390,2020-07-07,"American Dream Meadowlands",american-dream-meadowlands-east-rutherford-nj,"Triple Five Group",,,,,,,,,,retail,themed-entertainment,,,cost-commercial-management,program-project-management,,,cranford,,,auto-migrated,
36326,2020-06-25,"Kilroy Oyster Point Development",kilroy-oyster-point-south-san-francisco-ca,"City of South San Francisco",,,"January 2017",,"Kilroy Realty",,,,36530,workplace,,,,cost-commercial-management,planning-scheduling,program-project-management,,san-francisco,,,auto-migrated,
36208,2020-06-05,"Four Seasons Nashville",four-seasons-nashville-nashville-tn,"Four Seasons Hotels & Resort",,,,,,,,,,hospitality-gaming,luxury-residential,,,project-monitoring,,,,nashville,,,auto-migrated,
36202,2020-06-05,"Four Seasons New Orleans",four-seasons-new-orleans-new-orleans-la,"Four Seasons Hotels & Resort",,,,,,,,,,hospitality-gaming,luxury-residential,,,project-monitoring,,,,,,,auto-migrated,
