id,date,title,slug,news_category,location,byline,reprint_url,reprint_publication,reprint_logo,podcast,season,episode,youtube_url,mp3_url,sector1,sector2,sector3,service1,service2,service3,office1,office2,office3,office4,internal_byline1,internal_byline2,migration_status,migration_note
18708,2017-10-04,"Construction Teams Broke Ground on New 613-Room Westin Resort in Southern California",construction-teams-broke-ground-new-613-room-westin-resort-southern-california,,,,,,,,,,,,,,,,,,,,,,,,,
18347,2017-09-13,"The Immediate and Long-Term Impacts of Hurricanes Harvey and Irma on the Construction Industry",immediate-and-long-term-impacts-of-hurricanes-harvey-and-irma-on-the-construction-industry,,,,,,,,,,,,,,,,,,,,,,,,,
18343,2017-09-13,"School Starts At Charleston County School District After A Busy Summer Filled With Construction Projects",school-starts-charleston-county-school-district-busy-summer-filled-construction-projects-news,,,,,,,,,,,,,,,,,,,,,,,,,
18718,2017-09-06,"School Starts at Charleston County School District After a Busy Summer Filled with Construction Projects",school-starts-charleston-county-school-district-busy-summer-filled-construction-projects,,,,,,,,,,,,,,,,,,,,,,,,,
18258,2017-08-23,"Work progresses on $300 million Tahoe Beach Club",work-progresses-300-million-tahoe-beach-club,,,,,,,,,,,,,,,,,,,,,,,,,
18722,2017-08-17,"Tahoe Beach Club Continues Construction, Lakefront Community Beginning to Take Shape This Summer",tahoe-beach-club-continues-construction-lakefront-community-beginning-take-shape-summer,,,,,,,,,,,,,,,,,,,,,,,,,
17751,2017-07-26,"Leading construction consultancy brings on new Chief Financial Officer to provide international strategy during growth",leading-construction-consultancy-brings-on-new-cfo,,,,,,,,,,,,,,,,,,,,,,,,,
18006,2017-07-24,"Latest Charleston County hotel report shows continued strength",latest-charleston-county-hotel-report-shows-continued-strength,,,,,,,,,,,,,,,,,,,,,,,,,
18720,2017-07-19,"South Bay Inn & Suites Tops Out in Myrtle Beach After 12 Months of Construction",south-bay-inn-suites-tops-myrtle-beach-12-months-construction,,,,,,,,,,,,,,,,,,,,,,,,,
17590,2017-06-30,"L.A.’s John Anson Ford Amphitheater might finally be ready for its close-up",los-angeles-john-anson-ford-ampitheater-might-finally-be,,,,,,,,,,,,,,,,,,,,,,,,,
17203,2017-06-26,"Michelle Felman Appointed to the Board of Directors at Cumming",michelle-felman-appointed-to-the-board-of-directors-at-cumming-2,,,,,,,,,,,,,,,,,,chicago,,,,,,,
17188,2017-06-26,"Michelle Felman Appointed to The Board of Directors at Cumming",michelle-felman-appointed-to-the-board-of-directors-at-cumming,,,,,,,,,,,,,,,,,,,,,,,,,
17423,2017-06-14,"The Top 100 Professional Service Firms: See Where Your Company Ranks",the-top-100-professional-service-forms-see-where-your-company-ranks,,,,,,,,,,,,,,,,,,,,,,,,,
17681,2017-06-07,"Ian Schrager, still cool at age 70, opens new PUBLIC hotel",ian-schrager-still-cool-age-70-opens-new-public-hotel,,,,,,,,,,,,,,,,,,,,,,,,,
17679,2017-05-30,"W Fort Lauderdale Unveils First Phase of $55 Million Redesign",w-fort-lauderdale-unveils-first-phase-55-million-redesign,,,,,,,,,,,,,,,,,,,,,,,,,
17198,2017-05-18,"Cumming Kicks Off Measure G Bond Construction Program for Castro Valley Unified School District",cumming-kicks-off-measure-g-bond-construction-program-for-castro-valley-unified-school-district,,,,,,,,,,,,k-12-education,,,,,,,,,,,,,
17669,2017-05-16,"USC unveils new $80 million law school",usc-unveils-new-80-million-law-school,,,,,,,,,,,,,,,,,,,,,,,,,
17676,2017-05-11,"Ian Schrager Debuts New Luxury Lifestyle Concept Public",ian-schrager-debuts-new-luxury-lifestyle-concept-public,,,,,,,,,,,,,,,,,,,,,,,,,
16758,2017-05-09,"Design Work Begins on New San Diego City College Facility",design-work-begins-new-san-diego-city-college-facility,,,,,,,,,,,,,,,,,,,,,,,,,
17194,2017-04-18,"International Construction Consultancy Cumming Announces Strategic Alliance with Intercontinental Consultants and Technocrats Pvt. Ltd. to Strengthen Capabilites in Infrastructure",international-construction-consultancy-cumming-announces-strategic-alliance-with-intercontinental-consultants-and-technocrats-pvt-ltd-to-strengthen-capabilites-in-infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,
16749,2017-01-18,"After 2 years and $10 million, check out renovated York County Courthouse",2-years-10-million-check-renovated-york-county-courthouse,,,,,,,,,,,,,,,,,,,,,,,,,
17673,2017-01-03,"Waldorf Astoria New York to shut down today for renovations",waldorf-astoria-new-york-shut-today-renovations,,,,,,,,,,,,,,,,,,,,,,,,,
16736,2016-12-30,"Ribbon is Cut on New Warren Town Hall, A Vision Realized",ribbon-cut-new-warren-town-hall-vision-realized,,,,,,,,,,,,,,,,,,,,,,,,,
14271,2016-11-11,"A Lighthouse for the Mind",a-lighthouse-for-the-mind,,,,,,,,,,,,,,,,,,,,,,,,,
13613,2016-10-17,"Get ready to see inside Lake Wylie aquatic center",get-ready-to-see-inside-lake-wylie-aquatic-center,,,,,,,,,,,,,,,,,,,,,,,,,
15245,2016-10-12,"Long-Planned Four Seasons Opens in New York",long-planned-four-seasons-opens-new-york,,,,,,,,,,,,,,,,,,,,,,,,,
13618,2016-10-04,"Cumming Completes $17.8 Million Aquatic and Fitness Center, Clover School District’s New Facility to Open Mid-October",cumming-completes-17-8-million-aquatic-and-fitness-center-clover-school-districts-new-facility-to-open-mid-october,,,,,,,,,,,,,,,,,,,,,,,,,
13625,2016-09-09,"Mark D. Fergus FRICS to Serve as Southern California RICS Chairman",mark-d-fergus-frics-to-serve-as-southern-california-rics-chairman,,,,,,,,,,,,,,,,,,,,,,,,,
5196,2016-08-19,"Ground is Broken on Shawn Jenkins Children’s Hospital & Pearl Tourville Women’s Pavilion",ground-broken-shawn-jenkins-childrens-hospital-pearl-tourville-womens-pavilion,,,,,,,,,,,,,,,,,,,,,,,,,
15261,2016-06-16,"Top 100 Professional Services Firms",top-100-professional-services-firms-2,,,,,,,,,,,,,,,,,,chicago,,,,,,,
13789,2016-02-01,"London-Based GB Fitzsimon Merges with Cumming’s International Construction Cost and Project Management Team",london-based-gb-fitzsimon-merges-with-cummings-international-construction-cost-and-project-management-team,,,,,,,,,,,,,,,,,,,,,,,,,
5160,2016-02-01,"Construction Management Firm Cumming Acquires London Company",construction-management-firm-cumming-london,,,,,,,,,,,,,,,,,,,,,,,,,
5154,2015-12-23,"Derek Hutchison Rejoins Cumming as Executive Vice President",derek-hutchison-rejoins-cumming-as-executive-vice-president,,,,,,,,,,,,,,,,,,,,,,,,,
13785,2015-12-18,"Cumming Prepares for Continued Growth, Welcomes Back Senior Executive",cumming-prepares-for-continued-growth-welcomes-back-senior-executive,,,,,,,,,,,,,,,,,,,,,,,,,
5068,2015-09-17,"York courthouse renovation aims to preserve historic character",york-courthouse-renovation-aims-to-preserve-historic-character-2,,,,,,,,,,,,,,,,,,,,,,,,,
13781,2015-08-13,"Cumming Earns a Spot on the Coveted 2015 Inc. 5000 List; Recognized Across the Construction Industry for Continued Growth",cumming-earns-a-spot-on-the-coveted-2015-inc-5000-list-recognized-across-the-construction-industry-for-continued-growth,,,,,,,,,,,,,,,,,,,,,,,,,
4926,2015-07-01,"Three Local Construction Management Firms Make ENR’s Top 100",three-local-construction-management-firms-make-enrs-top-100-2,,,,,,,,,,,,,,,,,,,,,,,,,
4918,2015-06-26,"Bill Foulkes Hired as Project Management Executive at Cumming",bill-foulkes-hired-as-project-management-executive-at-cumming,,,,,,,,,,,,,,,,,,,,,,,,,
4911,2015-06-23,"A Gradual Rise in CMF-PM Fees",a-gradual-rise-in-cmf-pm-fees,,,,,,,,,,,,,,,,,,,,,,,,,
4901,2015-06-23,"Charleston County set to open three new schools in August",charleston-county-set-to-open-three-new-schools-in-august,,,,,,,,,,,,,,,,,,,,,,,,,
13777,2015-06-22,"Cumming Named Highest Ranked Construction Management Firm in San Diego, Top Five California-Based By Engineering News-Record",cumming-named-highest-ranked-construction-management-firm-in-san-diego-top-five-california-based-by-engineering-news-record,,,,,,,,,,,,,,,,,,,,,,,,,
4890,2015-04-15,"International consulting firm Cumming plans Hawaii expansion",international-consulting-firm-cumming-hawaii-expansion,,,,,,,,,,,,,,,,,,,,,,,,,
4819,2015-04-07,"Facebook’s new building is one big room",facebooks-new-building-is-one-big-room,,,,,,,,,,,,,,,,,,,,,,,,,
13773,2015-04-07,"Cumming Expands Hawaii-Based Team, Construction Successfully Completed on Recent Major Assignments",cumming-expands-hawaii-based-team-construction-successfully-completed-on-recent-major-assignments,,,,,,,,,,,,,,,,,,,,,,,,,
582,2015-04-06,"Facebook’s new building is one big room",facebooks-new-building-is-one-big-room-2,,,,,,,,,,,,,,,,,,,,,,,,,
4811,2015-03-19,"York County offices will stay in downtown",york-county-offices-will-stay-in-downtown,,,,,,,,,,,,,,,,,,,,,,,,,
4807,2015-03-17,"Construction execs discuss successful construction bonds",construction-execs-discuss-successful-construction-bonds,,,,,,,,,,,,,,,,,,,,,,,,,
4799,2015-03-11,"Cumming welcomes Jocelyn Des Laurier, Business Development Manager",cumming-welcomes-jocelyn-des-laurier-business-development-manager,,,,,,,,,,,,,,,,,,,,,,,,,
13769,2015-03-05,"Cumming to Present at the San Diego County Taxpayers Association School Bond Program on Project Management Best Practices",cumming-to-present-at-the-san-diego-county-taxpayers-association-school-bond-program-on-project-management-best-practices,,,,,,,,,,,,,,,,,,,,,,,,,
4679,2015-02-04,"Project management and cost consulting firm opens New Jersey office",cumming-corp-open-larger-office-new-jersey,,,,,,,,,,,,,,,,,,,,,,,,,
13765,2015-02-03,"Cumming Opens New Jersey Office, Continues Strategic Tri-State Expansion",cumming-opens-new-jersey-office-continues-strategic-tri-state-expansion,,,,,,,,,,,,,,,,,,,,,,,,,
4671,2015-01-27,"Courthouse renovation plans move forward",courthouse-renovation-plans-move-forward,,,,,,,,,,,,,,,,,,,,,,,,,
4666,2015-01-23,"Four Seasons Private Residences NY Downtown Tops Out",four-seasons-private-residences-ny-downtown-tops,,,,,,,,,,,,,,,,,,,,,,,,,
13761,2015-01-19,"Cumming, Gibbs Giden to Host 21st Annual Construction Conference",cumming-gibbs-giden-to-host-21st-annual-construction-conference,,,,,,,,,,,,,,,,,,,,,,,,,
4656,2015-01-03,"Breaking ground on York County’s future fire training center",breaking-ground-york-countys-future-fire-training-center,,,,,,,,,,,,,,,,,,,,,,,,,
4652,2014-11-18,"Council approves renovation of York County Courthouse",council-approves-renovation-york-county-courthouse,,,,,,,,,,,,,,,,,,,,,,,,,
